CardId,Normal,Foil,Name,Set
SFD-125,3,0,Fae Porter,Spiritforged
SFD-063,3,0,Chemtech Cask,Spiritforged
SFD-039,3,0,Royal Entourage,Spiritforged
SFD-151,3,0,Bonds of Strength,Spiritforged
SFD-095,3,0,Doran's Blade,Spiritforged
SFD-006,3,0,Eager Drakehound,Spiritforged
SFD-132,2,0,Beast Below,Spiritforged
SFD-098,3,0,Sea Monkey,Spiritforged
SFD-081,0,2,Card Sharp,Spiritforged
SFD-217,1,0,Seat of Power,Spiritforged
UNL-175,0,1,Tactical Retreat,Unleashed
SFD-138,2,0,Windsinger,Spiritforged
SFD-153,4,0,Eye of the Herald,Spiritforged
SFD-128,6,0,Overzealous Fan,Spiritforged
UNL-077,1,0,Soul Shepherd,Unleashed
SFD-044,1,0,Legion Quartermaster,Spiritforged
SFD-062,4,0,Bubble Bot,Spiritforged
SFD-126,2,0,Loyal Pup,Spiritforged
SFD-042,1,0,Brutalizer,Spiritforged
SFD-070,5,0,Wages of Pain,Spiritforged
SFD-040,5,0,Thwonk!,Spiritforged
SFD-046,2,0,Poro Snax,Spiritforged
SFD-164,1,0,Drag Under,Spiritforged
SFD-096,5,0,Laurent Bladekeeper,Spiritforged
SFD-010,5,0,Void Drone,Spiritforged
SFD-114,0,2,Marching Orders,Spiritforged
SFD-099,5,0,Veteran Poro,Spiritforged
SFD-130,5,0,Treasure Hunter,Spiritforged
SFD-127,4,0,Master Bingwen,Spiritforged
SFD-043,1,0,Emperor's Divide,Spiritforged
SFD-143,0,2,Sivir - Mercenary,Spiritforged
SFD-065,4,0,Forecaster,Spiritforged
SFD-168,1,0,Vanguard Armory,Spiritforged
UNL-038,3,0,Skyward Strike,Unleashed
UNL-045,1,0,Forgotten Signpost,Unleashed
UNL-106,1,0,Repulse,Unleashed
UNL-142,0,1,Heedless Resurrection,Unleashed
UNL-195,0,1,Ivern - Green Father,Unleashed
UNL-158,3,0,Shepherd's Heirloom,Unleashed
UNL-216,1,0,The Academy,Unleashed
UNL-017,2,0,Square Up,Unleashed
UNL-133,2,0,Blast Cone,Unleashed
UNL-033,3,0,Frisky Hunter,Unleashed
UNL-094,3,0,Gemhand Hunter,Unleashed
UNL-003,3,0,Mischievous Marai,Unleashed
UNL-097,3,0,Kinkou Initiate,Unleashed
UNL-129,2,0,Vicious Snapjaws,Unleashed
UNL-066,2,0,Moonlight Affliction,Unleashed
UNL-034,2,0,Herald of Spring,Unleashed
UNL-082,0,1,Lillia - Fae Fawn,Unleashed
UNL-049,0,1,Honeyfruit,Unleashed
UNL-009,3,0,Upstage Comedy,Unleashed
UNL-075,2,0,Gustwalker,Unleashed
UNL-043,2,0,Enthusiastic Promoter,Unleashed
UNL-168,3,0,Undying Loyalty,Unleashed
UNL-152,2,0,Black Rose Dignitary,Unleashed
UNL-125,2,0,Lunar Boon,Unleashed
UNL-063,2,0,Eclipse,Unleashed
UNL-039,2,0,Soul Sword,Unleashed
UNL-095,2,0,Grim Resolve,Unleashed
UNL-006,3,0,Sharkling,Unleashed
UNL-098,3,0,Targonian Visionary,Unleashed
SFD-079,0,2,Bard - Mercurial,Spiritforged
SFD-215,1,0,Ravenbloom Conservatory,Spiritforged
SFD-137,3,0,Harpoon Squad,Spiritforged
SFD-041,2,0,Apprentice Smith,Spiritforged
SFD-069,4,0,Plundering Poro,Spiritforged
SFD-154,4,0,Guards!,Spiritforged
SFD-071,2,0,Breakneck Mech,Spiritforged
SFD-157,3,0,Royal Guard,Spiritforged
SFD-123,3,0,Corrupt Enforcer,Spiritforged
SFD-033,3,0,Doran's Shield,Spiritforged
SFD-008,4,0,Sentinel Adept,Spiritforged
SFD-038,4,0,Ribbon Dancer,Spiritforged
SFD-022,0,2,Long Sword,Spiritforged
SFD-131,2,0,Ancient Warmonger,Spiritforged
SFD-093,5,0,Dauntless Vanguard,Spiritforged
SFD-004,4,0,Bushwhack,Spiritforged
SFD-011,2,0,Angle Shot,Spiritforged
SFD-101,2,0,Fae Dragon,Spiritforged
SFD-068,8,0,Gearhead,Spiritforged
SFD-064,3,0,Cloth Armor,Spiritforged
SFD-067,5,0,Frostcoat Cub,Spiritforged
SFD-161,2,0,B.F. Sword,Spiritforged
SFD-155,6,0,Honest Broker,Spiritforged
SFD-124,7,0,Doran's Ring,Spiritforged
OGN-089,1,0,Mind Rune,Origins
UNL-026,0,1,Xerath - Freed,Unleashed
UNL-021,0,1,Grim Apothecary,Unleashed
UNL-107,3,0,Stare Down,Unleashed
UNL-212,1,0,Frozen Fortress,Unleashed
UNL-164,2,0,Safety Inspector,Unleashed
UNL-105,2,0,Imposing Challenger,Unleashed
UNL-159,3,0,Soul Harvest,Unleashed
UNL-121,4,0,Bewitching Spirit,Unleashed
